LOTID,CREATIONDATE,MODIFICATIONDATE,MISCOTHERCOST,FEEDCOST,PROCESSINGCOST,VETCOST,RAILERWT,RAILERHEADCOUNT,RAILERSALES,CATTLECOST,TOTALPAYWTIN,TOTALOFFTRUCKWT,SEXTYPELOT,HEADINLOT,FEEDYARDPHONE,STARTPERIOD,ENDPERIOD
S217128,10/12/2021,29/06/2022,1404.32,54751.36,1056.9,251.65,1100,2,243.19,80336.81,51234,50820,NH,82,509-547-8864,10/12/2021,00:00.0
S229625,26/12/2022,06/11/2023,2916.36,206725.77,3659.17,109.71,1660,2,2048.26,170036.2,117678,108470,NULL,172,509-547-8864,26/12/2022,00:00.0
S239627,08/01/2023,07/08/2023,2855.15,143407.21,3777.2,645.18,24647,23,27978.06,0.01,172740,172740,NULL,201,509-547-8864,08/01/2023,00:00.0
S239630,29/01/2023,09/11/2023,1969.71,197846.18,2797.14,63.14,860,1,1031.77,174410.87,117280,117280,NULL,169,509-547-8864,29/01/2023,NULL
S239838,27/02/2023,27/11/2023,921.08,183802.57,5038.19,294.03,2080,2,1170.33,169372.92,105730,103780,ST,154,509-547-8864,27/02/2023,NULL
S237009,06/03/2023,08/09/2023,408.76,80175.13,712.17,585.9,1880,2,213.06,0.02,108670,108670,NM,117,509-547-8864,06/03/2023,00:00.0
S237012,07/03/2023,07/10/2023,2117.19,128428.26,964.41,533.61,1940,2,2179.49,227876,130130,130130,NM,165,509-547-8864,07/03/2023,00:00.0
S226245,30/12/2022,08/09/2023,2276.85,126278.65,1853.61,1542.27,3210,3,2905.08,216137.78,124611,124860,HF,150,509-547-8864,30/12/2022,00:00.0
S237003,10/01/2023,13/07/2023,987.88,55175.72,1965,736.06,3360,3,3744.15,0.01,64410,64410,NULL,73,509-547-8864,10/01/2023,00:00.0
S236000,12/01/2023,07/08/2023,2654.02,161426.98,1616.74,796.22,1100,1,1323.68,327825.08,180609,174950,HF,201,509-547-8864,12/01/2023,00:00.0
S237004,12/01/2023,07/10/2023,1313.66,93102.45,1999.19,396.45,1850,2,2258.11,0.01,57970,57970,NULL,100,509-547-8864,12/01/2023,00:00.0
S226125,31/07/2022,10/04/2023,3214.64,121306.46,1329.46,875.41,2190,2,1771.97,158589.62,95404,90210,HF,124,509-547-8864,31/07/2022,00:00.0
S218177,23/11/2021,02/08/2022,2765.53,122784.26,2915.08,3741.75,1330,2,218.26,164976.57,101385,97224,ST,160,509-547-8864,23/11/2021,00:00.0
S218175,23/11/2021,17/11/2022,1595.57,97253.5,603.2,2434.5,1660,2,1118.97,84887.17,47423,46970,ST,90,509-547-8864,23/11/2021,00:00.0
S229834,05/08/2022,08/09/2023,3160.93,143211.25,2725.28,564.46,5750,4,7887.84,75813.39,42368,41440,ST,110,509-547-8864,05/08/2022,00:00.0
S226137,16/08/2022,10/04/2023,3664.38,145417.06,1551.75,196.36,691,1,1180.79,0.01,120702,117790,HF,141,509-547-8864,16/08/2022,00:00.0
S229134,17/08/2022,07/10/2023,6514.26,322680.78,5229.52,714.1,5510,5,7180.91,147407.49,97095,94800,X,220,509-547-8864,17/08/2022,00:00.0
S236002,15/01/2023,09/10/2023,1958.09,155585.85,2419.31,511.41,2170,2,2614.75,224870.4,120723,116710,HF,153,509-547-8864,15/01/2023,00:00.0
S238007,24/01/2023,07/10/2023,4011.93,363695.29,3310.72,805.85,2700,3,2638.43,566383.35,302174,292770,ST,351,509-547-8864,24/01/2023,00:00.0
S238008,24/01/2023,08/09/2023,674.37,55082.13,689.2,154.14,1410,1,0,98150.23,54572,52960,ST,59,509-547-8864,24/01/2023,00:00.0
S236011,17/02/2023,07/10/2023,976.44,142076.15,2450.7,527.18,960,1,1349.66,226271.55,123074,120230,HF,153,509-547-8864,17/02/2023,00:00.0
S236012,17/02/2023,15/11/2023,1242.96,180160.02,2787.13,263.62,1960,2,1914.15,233635.28,125293,121820,HF,177,509-547-8864,17/02/2023,NULL
S238036,09/03/2023,06/11/2023,1134.16,385467.62,4870.4,796.16,3190,3,3589.66,690217.29,352944,343120,ST,416,509-547-8864,09/03/2023,00:00.0
S237001,10/01/2023,08/09/2023,857.45,52711.9,667.6,119.36,590,1,70.71,68154.05,48190,48190,ST,62,509-547-8864,10/01/2023,00:00.0
S237006,12/02/2023,08/09/2023,393.41,38555.06,650.28,69.28,920,1,1068.47,0.01,45144,44370,NULL,51,509-547-8864,12/02/2023,00:00.0
S238030,23/02/2023,20/11/2023,1770.71,286748.65,2468.67,1050.42,2800,4,1587.09,407511.49,203715,196960,NS,305,509-547-8864,23/02/2023,NULL
S228100,04/09/2022,13/06/2023,6271.67,258567.16,1587.13,180.98,1220,1,1460.68,334953.66,177664,171525,ST,210,509-547-8864,04/09/2022,00:00.0
S226161,04/09/2022,30/05/2023,4778.68,174618.28,1573.49,697.26,1920,2,1366.18,229464.45,132636,127711,HF,165,509-547-8864,04/09/2022,00:00.0
S219812,22/11/2021,24/01/2023,4386.53,252165.38,5161.27,1040.95,4990,5,4424.16,117271.06,74620,73370,ST,200,509-547-8864,22/11/2021,00:00.0
S229616,19/08/2022,12/06/2023,7567.99,262988.53,2598.66,294.21,1540,2,956.76,270263.13,178085,173880,HF,252,509-547-8864,19/08/2022,00:00.0
S227053,30/08/2022,12/06/2023,5843.85,212314.38,2072.28,894.85,3150,4,651.07,0.01,140577,138060,NULL,197,509-547-8864,30/08/2022,00:00.0
S236010,16/02/2023,08/11/2023,1926.29,277360.82,4386.7,397.05,2370,2,2525.41,366736.9,202148,202150,HF,278,509-547-8864,16/02/2023,00:00.0
S227046,27/07/2022,06/02/2023,7553.28,145623.94,1245.19,1344.18,890,1,325.5,252324.5,162790,162790,NULL,173,509-547-8864,27/07/2022,00:00.0
S238037,09/03/2023,08/09/2023,465.64,144595.35,2181.29,277.28,600,1,39.79,299191.83,162366,165680,ST,178,509-547-8864,09/03/2023,00:00.0
S236028,23/03/2023,07/10/2023,173.63,125627.72,1607.41,148.35,620,1,9.62,290742.36,164584,158308,HF,177,509-547-8864,23/03/2023,00:00.0
S238049,27/03/2023,13/11/2023,378.77,323837.55,4371.15,2233.19,4170,4,3534.13,607952.93,336406,335170,ST,367,509-547-8864,27/03/2023,00:00.0
S238020,12/02/2023,06/11/2023,1481.04,175691.85,3105.22,174.31,1940,2,966.19,298870.42,151189,146720,ST,194,509-547-8864,12/02/2023,00:00.0
S236013,17/02/2023,06/11/2023,1125.97,165667.1,2792.95,424.4,960,1,1198.23,237117.11,129099,125520,HF,178,509-547-8864,17/02/2023,00:00.0
S238029,23/02/2023,07/10/2023,838.3,169836.02,1955.56,276.82,1010,2,330.26,289536.88,165620,163980,ST,166,509-547-8864,23/02/2023,00:00.0
S238032,06/03/2023,08/09/2023,750.91,155118.54,2419.65,64.84,940,1,1033.57,376648.75,201698,198106,ST,202,509-547-8864,06/03/2023,00:00.0
S238042,15/03/2023,06/11/2023,488.33,219183.46,7625.22,1743.64,1740,2,1197.7,402937.15,225811,224480,ST,264,509-547-8864,15/03/2023,00:00.0
S238010,27/01/2023,07/10/2023,1083.09,91427.95,1334.52,1031.43,3470,5,1699.5,130224.18,70013,70720,ST,100,509-547-8864,27/01/2023,00:00.0
S236003,27/01/2023,09/10/2023,5596.68,436299.92,4955.63,2066.49,1790,2,1166.46,690560.24,419131,412260,HF,503,509-547-8864,27/01/2023,00:00.0
S238011,29/01/2023,08/09/2023,1460.97,122993.18,3717.06,249.31,1000,1,360.5,217407.57,115875,110490,ST,135,509-547-8864,29/01/2023,00:00.0
S236005,06/02/2023,08/09/2023,4584.15,445213.84,6821.94,1359.24,2480,3,1340.29,786725.31,422569,413390,HF,508,509-547-8864,06/02/2023,00:00.0
S238012,06/02/2023,11/09/2023,6163.99,587880.37,6265.11,1897.17,5550,6,5404.36,1105383.12,566805,551540,ST,666,509-547-8864,06/02/2023,00:00.0
S236018,28/02/2023,27/11/2023,2453.35,492775.7,6367.68,808.21,1560,2,1199.82,694351.92,352624,343820,HF,477,509-547-8864,28/02/2023,NULL
S236019,01/03/2023,06/11/2023,2579.49,578766.16,8369.84,1292.45,3620,4,4215.53,915528.09,465231,449200,HF,627,509-547-8864,01/03/2023,00:00.0
S236020,06/03/2023,06/11/2023,816.62,210072.28,2735.55,1317.73,3010,3,3199.57,348973.84,202468,202160,HF,238,509-547-8864,06/03/2023,00:00.0
S208109,13/11/2020,01/07/2021,2751.95,166292.25,2527.76,2803.14,880,1,208.75,204297.75,140895,139500,ST,222,509-547-8864,13/11/2020,00:00.0
S207135,07/12/2020,08/09/2021,1092.49,66892.36,5968.72,2217.49,2720,4,1258.44,65506.01,57910,57910,HF,119,509-547-8864,07/12/2020,00:00.0
S236032,30/03/2023,14/11/2023,1421.93,389155.59,5408.93,377.92,1220,1,1434.92,601809.26,311794,300800,HF,404,509-547-8864,30/03/2023,NULL
S236034,30/03/2023,27/11/2023,79.18,72046.66,1070.21,94.39,1050,1,1272.51,115191.67,61074,58190,HF,80,509-547-8864,30/03/2023,NULL
S238051,30/03/2023,06/11/2023,145.24,228149.97,3090.56,400.5,1930,2,1841.15,453563.05,238906,230590,ST,264,509-547-8864,30/03/2023,00:00.0
S238063,24/04/2023,09/11/2023,340.1,284467.3,3561.48,622.59,2020,2,2422.32,602382.12,317277,303180,ST,324,509-547-8864,24/04/2023,NULL
S218049,11/03/2021,08/09/2021,0,114836.37,284.15,297.44,530,1,122,0.01,220880,220880,ST,219,509-547-8864,11/03/2021,00:00.0
S228073,18/07/2022,14/03/2023,3860.32,177827.34,4884.87,333.86,780,1,696.35,0.02,120460,120460,ST,162,509-547-8864,18/07/2022,00:00.0
S227055,05/09/2022,13/07/2023,1838.23,63350.75,487.28,1406.17,880,1,1053.21,0,36271,36271,NM,61,509-547-8864,05/09/2022,00:00.0
S217108,21/11/2021,02/08/2022,1666.8,72099.99,3024.75,2352.08,630,1,86.43,0.01,64580,64580,NULL,92,509-547-8864,21/11/2021,00:00.0
S217115,01/12/2021,29/06/2022,370.9,15006.04,599.75,302.29,1680,1,1448.55,17527.43,20168,19990,HF,22,509-547-8864,01/12/2021,00:00.0
S210107,04/12/2021,02/06/2022,1313.46,43463.76,365.82,123.61,5852,4,5059.05,0.02,88860,88860,C,82,509-547-8864,04/12/2021,00:00.0
S217118,04/12/2021,02/08/2022,2306.66,105669.7,2722.29,1255.89,980,1,995.9,0.02,96750,96750,NULL,132,509-547-8864,04/12/2021,00:00.0
S227111,26/12/2022,13/07/2023,936.78,47767.82,1544.78,352.92,1220,1,1314.43,72155.03,48180,40710,NULL,57,509-547-8864,26/12/2022,00:00.0
S236033,30/03/2023,09/11/2023,1274.32,295401.05,4921.86,365.08,930,1,0,453727.61,232943,224730,HF,310,509-547-8864,30/03/2023,NULL
S236044,24/04/2023,27/11/2023,471.59,294863.56,5704.51,455.91,860,1,980.24,497955.87,259325,240750,HF,330,509-547-8864,24/04/2023,NULL
S236046,27/04/2023,15/11/2023,141.69,91633.62,1374.54,207.29,830,1,951.55,156650.48,82309,78710,HF,109,509-547-8864,27/04/2023,NULL
S236021,07/03/2023,06/11/2023,519.64,133473.36,1683.02,364.25,1000,1,418,224469.77,119456,115590,HF,148,509-547-8864,07/03/2023,00:00.0
S238038,09/03/2023,06/11/2023,693.35,225376.13,3183.92,405.73,1890,2,2262.67,455414.08,239881,233050,ST,265,509-547-8864,09/03/2023,00:00.0
S238045,19/03/2023,07/10/2023,345.31,176111.86,2306.68,385.42,1660,2,2114.72,341213.8,179256,173010,ST,198,509-547-8864,19/03/2023,00:00.0
S236022,10/03/2023,07/10/2023,325.91,114160.74,1494.96,387.82,970,1,1102.23,0.01,111410,111410,HF,130,509-547-8864,10/03/2023,00:00.0
S236004,02/02/2023,15/11/2023,1417.95,148466.03,1772.65,580.11,920,1,302.96,213518.17,118129,120540,HF,146,509-547-8864,02/02/2023,00:00.0
S236040,12/04/2023,27/11/2023,213.13,151999.81,2875.62,613.23,4440,4,4250.23,226059.23,120031,117330,HF,154,509-547-8864,12/04/2023,NULL
S236035,03/04/2023,27/11/2023,257.34,171092.37,7044.07,3397.13,1900,2,2466.28,273145.13,156584,155500,HF,194,509-547-8864,03/04/2023,NULL
S209069,16/12/2020,01/03/2022,3614.09,275965.73,3793.37,1140.72,10094,9,7901.15,103690.25,89010,86340,X,217,509-547-8864,16/12/2020,00:00.0
S226126,01/08/2022,09/01/2023,1056.75,63244.85,715.98,48.2,990,1,626.19,0.01,78560,78560,HF,81,509-547-8864,01/08/2022,00:00.0
S216410,23/11/2021,01/10/2022,3356.41,148559.87,9790.48,1270.11,2350,3,1474.53,0,0,166060,HF,0,509-547-8864,23/11/2021,00:00.0
S208112,16/11/2020,01/07/2021,1849.08,108363.29,5292.74,740.98,510,1,86.25,135286.84,96905,90180,ST,151,509-547-8864,16/11/2020,00:00.0
S207125,22/11/2020,01/07/2021,2404.67,145286.4,9596.18,845.31,830,1,135,185237.67,145655,134210,ST,206,509-547-8864,22/11/2020,00:00.0
S236026,23/03/2023,06/11/2023,664.02,152427.87,1992.68,488.97,980,1,980.59,0.02,135570,135570,HF,174,509-547-8864,23/03/2023,00:00.0
S237016,29/03/2023,07/10/2023,52.97,62300.09,2575.42,136.74,1100,1,1318.57,0.01,76410,76410,NULL,90,509-547-8864,29/03/2023,00:00.0
S239837,30/01/2023,28/11/2023,1380.5,135171.64,2037.48,691.66,2345,3,1410.8,111777.37,71290,71290,NULL,124,509-547-8864,30/01/2023,NULL
S239216,30/01/2023,28/11/2023,1825.73,176432.68,2602.76,439.12,700,1,54.74,143297.13,91220,91220,NULL,160,509-547-8864,30/01/2023,NULL
S236017,21/02/2023,28/11/2023,2400.52,345132.92,3851.96,1332.89,3220,5,1531.81,382156.06,207468,198890,NH,324,509-547-8864,21/02/2023,NULL
S238061,21/04/2023,28/11/2023,792.72,403698.32,5638.21,449.47,2100,2,2613.35,653726.59,286848,273540,ST,400,509-547-8864,21/04/2023,NULL
S238064,27/04/2023,28/11/2023,413.6,216243.25,2388.79,438.21,1500,2,1563.09,353859.49,186046,178590,ST,221,509-547-8864,27/04/2023,NULL
S238062,21/04/2023,28/11/2023,747.61,412301.79,5654.2,188.35,1880,2,2230.43,640619.98,281097,271820,ST,400,509-547-8864,21/04/2023,NULL
S236041,12/04/2023,28/11/2023,236.18,152069.27,2329.18,774.76,2010,2,2431.37,226229.75,119326,116640,HF,156,509-547-8864,12/04/2023,NULL
S236042,15/04/2023,28/11/2023,367.79,203912.4,3185.84,317.17,2600,2,2992.72,333197.31,177971,172330,HF,210,509-547-8864,15/04/2023,NULL
S238058,17/04/2023,28/11/2023,663.82,409108,5166.61,989.62,1970,2,1733.7,681824.39,299177,286170,ST,400,509-547-8864,17/04/2023,NULL
S238054,11/04/2023,28/11/2023,231.84,148545.95,1861.25,446.86,1740,2,2642.26,228383.23,120265,118370,ST,142,509-547-8864,11/04/2023,NULL
S238059,17/04/2023,28/11/2023,644.81,426064.02,5153.14,953.02,1960,2,2100.78,711446.81,312175,291280,ST,400,509-547-8864,17/04/2023,NULL
S239637,08/04/2023,28/11/2023,394.08,178387.77,5748.86,593.69,770,1,13.17,189298.66,92960,84740,NULL,230,509-547-8864,08/04/2023,NULL
S239635,01/04/2023,28/11/2023,1057.47,64588.94,2533.09,169.32,760,1,953.3,86670.78,56055,55810,NULL,72,509-547-8864,01/04/2023,NULL
S237026,14/05/2023,28/11/2023,144.92,134146.16,5251.27,701.38,3710,4,4113.54,0.03,170480,170480,NULL,188,509-547-8864,14/05/2023,NULL
S238078,16/06/2023,28/11/2023,15369.33,93183.99,8575.88,1315.98,4080,5,3392.99,284316.19,140066,131040,ST,171,509-547-8864,16/06/2023,NULL
S238090,15/07/2023,28/11/2023,407.28,157348.14,2697.33,289.61,4020,5,952.92,555955.4,237466,228220,ST,247,509-547-8864,15/07/2023,NULL
S237043,23/07/2023,28/11/2023,7221,39737.5,2523.96,1644.72,3370,4,3595.62,159320.19,74355,68290,NULL,88,509-547-8864,23/07/2023,NULL
S236074,28/07/2023,28/11/2023,217.56,73475.35,1428.6,405.7,810,1,162.05,262521.06,116837,111650,HF,131,509-547-8864,28/07/2023,NULL
S237053,06/08/2023,28/11/2023,8412.67,52041.76,3288.28,1408.82,2010,3,1764.21,199378.1,96370,90850,NULL,117,509-547-8864,06/08/2023,NULL
S237056,14/08/2023,28/11/2023,12424.98,69710.75,3744.01,1445.57,3270,4,2233.15,312593.9,143815,130130,NULL,170,509-547-8864,14/08/2023,NULL
S237039,11/07/2023,28/11/2023,103.43,34923.97,1825.17,627.93,860,1,963.12,0.01,48010,48010,NULL,62,509-547-8864,11/07/2023,NULL
S237041,15/07/2023,28/11/2023,10404.04,51056.87,3087.58,1577.11,640,1,109.9,183512.3,91780,84140,NULL,106,509-547-8864,15/07/2023,NULL
S237042,23/07/2023,28/11/2023,12555.49,92391.81,5603.43,3215.22,4230,6,4112.83,334374.22,163475,150400,ST,191,509-547-8864,23/07/2023,NULL
S239634,30/03/2023,28/11/2023,820.03,195053.72,3625.88,309.99,710,1,813.24,201782.12,122860,122860,HF,209,509-547-8864,30/03/2023,NULL
S239150,24/04/2023,28/11/2023,5678.11,121765.84,2074.53,277.22,1520,2,1249.27,113636.61,91708,85420,X,134,509-547-8864,24/04/2023,NULL
S239148,23/02/2023,28/11/2023,1606.81,270322.18,3891.57,670.41,2940,4,811.7,191454.26,141860,141860,X,241,509-547-8864,23/02/2023,NULL
S239639,24/04/2023,28/11/2023,3147.75,69441.02,2698.38,103.01,760,1,828.46,84750.9,48540,43840,NULL,100,509-547-8864,24/04/2023,NULL
S209070,21/12/2020,22/04/2022,3027.78,125227.87,1872.04,1777.66,2400,3,1427.4,39266.65,31850,30610,X,100,509-547-8864,21/12/2020,00:00.0
S208130,22/12/2020,08/09/2021,733.21,61031.23,1606.19,484.77,1530,2,774.53,0.01,50690,50690,ST,83,509-547-8864,22/12/2020,00:00.0
S229145,29/12/2022,27/11/2023,4364.03,317642.4,5398.35,1874.34,15860,16,16913.74,206026.83,173190,173190,X,269,509-547-8864,29/12/2022,NULL
S237002,10/01/2023,08/09/2023,1948.41,138767.26,3473.21,595.48,680,1,192.15,184650,123100,123100,NULL,144,509-547-8864,10/01/2023,00:00.0
S237038,09/07/2023,27/11/2023,2891.71,35299.25,687.89,232.2,1710,2,1297.87,1875.81,57480,57480,NULL,61,509-547-8864,09/07/2023,NULL
S228086,11/08/2022,06/02/2023,3194.97,169536.28,8556.43,102.54,1050,1,853.69,363270,242180,242180,ST,230,509-547-8864,11/08/2022,00:00.0
S238066,10/05/2023,20/11/2023,186.34,135115.31,1668.24,184.88,730,1,123,0.01,141200,141200,NS,172,509-547-8864,10/05/2023,NULL
S226166,05/09/2022,08/05/2023,5556.6,168933.88,1248.11,585.62,590,1,62.68,0,167779,167779,NH,203,509-547-8864,05/09/2022,00:00.0
S217001,05/01/2021,08/09/2021,439.96,39777.49,399.14,1408.6,640,1,140,64390.3,49825,46950,NS,63,509-547-8864,05/01/2021,00:00.0
S236037,05/04/2023,20/11/2023,92.38,140481.62,2076.53,776.69,2860,3,1769.7,0.01,136280,136280,HF,163,509-547-8864,05/04/2023,NULL
S236039,08/04/2023,27/11/2023,299.51,219274.48,3286.22,1621.97,680,1,283.5,334210.01,181705,172350,HF,216,509-547-8864,08/04/2023,NULL
S228106,11/09/2022,08/05/2023,10491.73,426035.38,2489.5,91,1150,1,1036.27,661223.32,355592,346500,ST,364,509-547-8864,11/09/2022,00:00.0
S238046,19/03/2023,06/11/2023,205.24,127181.89,1545.41,131.98,1040,1,1354.95,226825.53,117035,113290,ST,132,509-547-8864,19/03/2023,00:00.0
S238047,19/03/2023,06/11/2023,322.75,175286.17,2494.54,837.74,4000,4,4954.55,0.01,187180,187180,ST,214,509-547-8864,19/03/2023,00:00.0
S238050,29/03/2023,14/11/2023,300.17,215282.35,5744.98,313.36,830,1,1098.33,386468.99,180827,174390,ST,228,509-547-8864,29/03/2023,NULL
S226170,11/09/2022,19/06/2023,5306.77,212321.75,1579.49,270.25,1230,1,1005.51,284659.39,154555,147840,HF,177,509-547-8864,11/09/2022,00:00.0
S228103,09/09/2022,10/04/2023,5409.24,199622.77,1381.53,245.61,880,1,602.25,357746.67,196621,189340,ST,202,509-547-8864,09/09/2022,00:00.0
S208124,07/12/2020,27/07/2021,397.65,27074.86,1311.95,653.86,1240,2,253,0.01,27159,26890,ST,39,509-547-8864,07/12/2020,00:00.0
S216001,10/01/2021,01/07/2021,1275.75,105475.57,2208.76,796.27,1610,2,448.75,217191.23,166568,158895,HF,189,509-547-8864,10/01/2021,00:00.0
S217006,13/01/2021,29/09/2021,791.1,123175.09,2091.28,658.94,2870,3,1171.32,118873.91,89151,90970,NULL,132,509-547-8864,13/01/2021,00:00.0
S217047,20/07/2021,01/03/2022,850.15,87912.54,1297.18,148.12,840,1,169,0.01,106220,106220,NULL,127,509-547-8864,20/07/2021,00:00.0
S228117,18/09/2022,13/06/2023,5841.87,247503.37,6479.16,246.41,1330,1,1574.87,335139.05,188060,177640,ST,195,509-547-8864,18/09/2022,00:00.0
S237022,07/05/2023,28/11/2023,141.54,109620.52,1647.45,330.63,2980,3,3667.98,0.01,112224,109790,NULL,136,509-547-8864,07/05/2023,NULL
S239633,15/03/2023,28/11/2023,1098.99,211413.74,3439.73,293.38,1770,2,2221.4,218014.93,140943,139700,ST,196,509-547-8864,15/03/2023,NULL
S239151,25/04/2023,28/11/2023,401.28,194299.24,3576.81,311.79,630,1,40.9,192787.78,131360,131360,X,229,509-547-8864,25/04/2023,NULL
S238084,02/07/2023,28/11/2023,184.82,72520,1245.96,386.66,2530,3,2863.16,0.01,106913,102560,ST,114,509-547-8864,02/07/2023,NULL
S239153,09/07/2023,28/11/2023,231.11,72215.31,2195.63,284.46,470,1,104.98,143809.64,86544,85730,X,141,509-547-8864,09/07/2023,NULL
S238086,09/07/2023,28/11/2023,193.39,68910.44,3126.92,284.11,1920,2,1064.68,0.01,93658,91280,ST,118,509-547-8864,09/07/2023,NULL
S238089,11/07/2023,28/11/2023,235.98,87035.33,1829.22,416.77,980,1,0,0.01,125320,121670,ST,142,509-547-8864,11/07/2023,NULL
S236087,19/08/2023,28/11/2023,94.64,19609.36,562.11,146.26,950,1,1053.87,115358.32,47278,44010,NH,58,509-547-8864,19/08/2023,NULL
S237047,26/07/2023,28/11/2023,5849.64,43486.76,2698.21,1204.46,5550,6,4422.97,171735.2,94360,88100,NULL,99,509-547-8864,26/07/2023,NULL
S236062,16/06/2023,28/11/2023,284.2,120891.08,2019.94,409.83,3600,4,3399.88,0.01,153139,147900,HF,174,509-547-8864,16/06/2023,NULL
S239643,26/06/2023,28/11/2023,1126.22,53549.75,1742.53,251.61,650,1,92.51,109264.07,59976,59210,NULL,103,509-547-8864,26/06/2023,NULL
S238088,09/07/2023,28/11/2023,186.84,63474.85,1414.39,280.82,840,1,1011.36,168334.19,86951,83650,ST,113,509-547-8864,09/07/2023,NULL
S239152,08/06/2023,28/11/2023,5389.68,86977.11,2064.84,133.25,2940,4,2694.47,120701.86,93923,87000,X,134,509-547-8864,08/06/2023,NULL
S239220,29/06/2023,28/11/2023,212.04,68073.35,2021.26,42.85,810,1,897.09,169816.33,98470,97040,HF,127,509-547-8864,29/06/2023,NULL
S236085,17/08/2023,28/11/2023,95.87,22656.06,479.24,291.42,620,1,2.95,119913.01,49514,46730,NH,59,509-547-8864,17/08/2023,NULL
S239158,07/09/2023,28/11/2023,7054.86,33966.23,3051,173.64,730,1,225.59,132317.32,90860,83580,X,128,509-547-8864,07/09/2023,NULL
S239223,08/09/2023,28/11/2023,149.68,26992.08,557.95,32.61,820,1,786.7,120464.21,65839,65117,HF,90,509-547-8864,08/09/2023,NULL
S237027,22/05/2023,28/11/2023,79.04,35576.09,241.32,174.89,750,1,800.67,70442.59,32542,32542,NM,48,509-547-8864,22/05/2023,NULL
S238077,11/06/2023,28/11/2023,3796.15,65274.02,5397.67,1279.92,8110,9,6403.69,180502.36,88518,81760,ST,105,509-547-8864,11/06/2023,NULL
S237030,15/06/2023,28/11/2023,15597.66,117916.8,4674.81,1969.35,1380,2,308.81,315250.4,159349,146500,NULL,196,509-547-8864,15/06/2023,NULL
S237031,19/06/2023,28/11/2023,244.35,99056.5,4519.05,453.09,2740,3,2731.73,0.02,115340,115340,NULL,149,509-547-8864,19/06/2023,NULL
S237048,28/07/2023,28/11/2023,9058.34,41917.39,2380.68,646.54,1560,2,1832.08,143682.06,74205,68450,NULL,82,509-547-8864,28/07/2023,NULL
S236080,11/08/2023,28/11/2023,132.83,39028.81,583.33,237.72,730,1,148.3,146629.56,63476,59400,HF,80,509-547-8864,11/08/2023,NULL
S238101,14/08/2023,28/11/2023,241.33,69190.95,4004.95,508.42,1020,1,960,274522.29,127019,121760,NULL,146,509-547-8864,14/08/2023,NULL
S236084,14/08/2023,28/11/2023,5353.59,94130.65,6194.76,651.68,2280,3,1992.29,375585.35,169007,162010,SH,208,509-547-8864,14/08/2023,NULL
S237040,15/07/2023,28/11/2023,125.21,40718.28,2415.13,118.95,700,1,51.65,0.01,52060,52060,NULL,75,509-547-8864,15/07/2023,NULL
S238091,18/07/2023,28/11/2023,326.67,107195.99,2149.8,415.31,860,1,994.21,383068.45,182266,176820,ST,195,509-547-8864,18/07/2023,NULL
S236076,01/08/2023,28/11/2023,3360.52,116177.25,3361.97,201.1,720,1,836.49,0.01,160540,160540,HF,225,509-547-8864,01/08/2023,NULL
S237052,04/08/2023,28/11/2023,107.88,32127.58,1837.5,311.61,730,1,811.69,0.01,48870,48870,NULL,65,509-547-8864,04/08/2023,NULL
S236079,08/08/2023,28/11/2023,379.59,114478.04,3086.83,517.09,1210,2,131.28,444500.23,189860,178730,HF,231,509-547-8864,08/08/2023,NULL
S236048,30/04/2023,28/11/2023,338.21,184408.64,3510.31,183.86,2340,2,2804.65,338789.78,182636,173570,HF,210,509-547-8864,30/04/2023,NULL
S237021,30/04/2023,28/11/2023,112.36,70922.83,2239.24,64.81,750,1,777.96,0.01,58920,58920,NULL,75,509-547-8864,30/04/2023,NULL
S238076,07/06/2023,28/11/2023,179.76,87093.72,1407,19.36,710,1,935.46,212784.32,95642,87840,ST,110,509-547-8864,07/06/2023,NULL
S236060,11/06/2023,28/11/2023,455.28,205343.13,4062.4,520.84,1020,1,1211.38,508277.2,236496,216270,HF,273,509-547-8864,11/06/2023,NULL
S238095,30/07/2023,28/11/2023,92.12,24311.42,612.14,647.03,2770,4,2681.75,115143.84,47287,44560,ST,60,509-547-8864,30/07/2023,NULL
S238104,19/08/2023,28/11/2023,372.23,102574.07,2454.65,151.77,970,1,946.74,489016.1,206189,195898,ST,223,509-547-8864,19/08/2023,NULL
S238106,19/08/2023,28/11/2023,331.6,96380.46,2600.2,271.95,890,1,1055.53,426884.69,185804,176810,ST,199,509-547-8864,19/08/2023,NULL
S238071,28/05/2023,28/11/2023,450.91,224411.09,2995.99,288.77,1680,2,1081.26,503414.88,260198,245880,ST,272,509-547-8864,28/05/2023,NULL
S238074,04/06/2023,28/11/2023,216.72,92975.5,2456.32,85.28,800,1,964.52,222240.15,93600,86780,ST,132,509-547-8864,04/06/2023,NULL
S236082,13/08/2023,28/11/2023,519.17,156544.17,2734.42,114.86,740,1,935.22,565104.47,278472,263411,SH,310,509-547-8864,13/08/2023,NULL
S238122,05/09/2023,28/11/2023,307.3,74163.78,2375.52,208.01,1890,2,1972.47,381157.31,169044,164553,ST,185,509-547-8864,05/09/2023,NULL
S238123,05/09/2023,28/11/2023,231.47,49090.25,1170.56,130.62,1070,1,1046.53,267822.25,114478,111437,ST,139,509-547-8864,05/09/2023,NULL
